dataset,method,seed,stage,metric,value
mscoco,UIH,6513,8,i2t_old,0.27286076155404904
mscoco,UIH,6513,8,t2i_map,0.2751215692862945
mscoco,UIH,6513,8,t2i_old,0.2733354473943687
mscoco,UIH,6513,9,i2t_map,0.2654965023268411
mscoco,UIH,6513,9,i2t_old,0.26863744186182237
mscoco,UIH,6513,9,t2i_map,0.27257066065064506
mscoco,UIH,6513,9,t2i_old,0.2712943159095762
mscoco,UIH,6513,10,i2t_map,0.26500489225685747
mscoco,UIH,6513,10,i2t_old,0.2657900323185052
mscoco,UIH,6513,10,t2i_map,0.2714237465081062
mscoco,UIH,6513,10,t2i_old,0.2725531728325192
mscoco,UIH,9231,1,i2t_map,0.2664468935089533
mscoco,UIH,9231,1,i2t_old,nan
mscoco,UIH,9231,1,t2i_map,0.2639468501110881
mscoco,UIH,9231,1,t2i_old,nan
mscoco,UIH,9231,2,i2t_map,0.2653847197858316
mscoco,UIH,9231,2,i2t_old,0.26681803386744185
mscoco,UIH,9231,2,t2i_map,0.2645338640544865
mscoco,UIH,9231,2,t2i_old,0.2607857487089009
mscoco,UIH,9231,3,i2t_map,0.2653826670078012
mscoco,UIH,9231,3,i2t_old,0.2643145302424089
mscoco,UIH,9231,3,t2i_map,0.267924182983613
mscoco,UIH,9231,3,t2i_old,0.26136226823450265
mscoco,UIH,9231,4,i2t_map,0.27186703165394577
mscoco,UIH,9231,4,i2t_old,0.26140714027565315
mscoco,UIH,9231,4,t2i_map,0.276781654249572
mscoco,UIH,9231,4,t2i_old,0.2665066860763554
mscoco,UIH,9231,5,i2t_map,0.2696287948687296
mscoco,UIH,9231,5,i2t_old,0.2716343638154322
mscoco,UIH,9231,5,t2i_map,0.2734681576221782
mscoco,UIH,9231,5,t2i_old,0.27508556307304605
mscoco,UIH,9231,6,i2t_map,0.2704318222985948
mscoco,UIH,9231,6,i2t_old,0.2666646939442268
mscoco,UIH,9231,6,t2i_map,0.2756877371032782
mscoco,UIH,9231,6,t2i_old,0.27164514735077394
mscoco,UIH,9231,7,i2t_map,0.27035658548592384
mscoco,UIH,9231,7,i2t_old,0.27346550165579353
mscoco,UIH,9231,7,t2i_map,0.2756335538994035
mscoco,UIH,9231,7,t2i_old,0.2769845578600754
mscoco,UIH,9231,8,i2t_map,0.2687031494120833
mscoco,UIH,9231,8,i2t_old,0.2680373227127407
mscoco,UIH,9231,8,t2i_map,0.27298594939298665
mscoco,UIH,9231,8,t2i_old,0.2719377810598798
mscoco,UIH,9231,9,i2t_map,0.2680867308682883
mscoco,UIH,9231,9,i2t_old,0.26812086588225
mscoco,UIH,9231,9,t2i_map,0.27217173054289195
mscoco,UIH,9231,9,t2i_old,0.27052435955250503
mscoco,UIH,9231,10,i2t_map,0.26721343405312753
mscoco,UIH,9231,10,i2t_old,0.2678376957925136
mscoco,UIH,9231,10,t2i_map,0.27219606026051757
mscoco,UIH,9231,10,t2i_old,0.2737503569696328
nuswide81,Full,2096,1,i2t_map,0.3433903263045875
nuswide81,Full,2096,1,i2t_old,nan
nuswide81,Full,2096,1,t2i_map,0.32711607916421104
nuswide81,Full,2096,1,t2i_old,nan
nuswide81,Full,2096,2,i2t_map,0.35789729858949365
nuswide81,Full,2096,2,i2t_old,0.3472311514856258
nuswide81,Full,2096,2,t2i_map,0.33950593588985273
nuswide81,Full,2096,2,t2i_old,0.33370713065485336
nuswide81,Full,2096,3,i2t_map,0.36742001232748034
nuswide81,Full,2096,3,i2t_old,0.36152131957251366
nuswide81,Full,2096,3,t2i_map,0.3431860242799275
nuswide81,Full,2096,3,t2i_old,0.3391076217200574
nuswide81,Full,2096,4,i2t_map,0.36713739344122825
nuswide81,Full,2096,4,i2t_old,0.36266151694585985
nuswide81,Full,2096,4,t2i_map,0.3521439286171802
nuswide81,Full,2096,4,t2i_old,0.34788238318528963
nuswide81,Full,2096,5,i2t_map,0.3729754004299991
nuswide81,Full,2096,5,i2t_old,0.37015386302091685
nuswide81,Full,2096,5,t2i_map,0.35676868907390646
nuswide81,Full,2096,5,t2i_old,0.3529790494654004
nuswide81,Full,2096,6,i2t_map,0.36994863043805176
nuswide81,Full,2096,6,i2t_old,0.36759799004953086
